age,potential,value_eur,wage_eur,dribbling,overall,technical_score,value_per_wage,age_potential_gap,tier,cluster
25,84,17000000.0,120000.0,87.0,82,87.0,141.665486120949,2,Excellent,4
29,82,14500000.0,130000.0,85.0,82,85.0,111.53760355689572,0,Excellent,4
28,82,15500000.0,140000.0,62.0,82,62.0,110.71349490360784,0,Excellent,4
25,84,15000000.0,130000.0,57.0,82,57.0,115.38372781747833,2,Excellent,4
26,84,18000000.0,140000.0,86.0,82,86.0,128.57051021064134,2,Excellent,4
26,83,15000000.0,130000.0,72.0,82,72.0,115.38372781747833,1,Excellent,4
23,86,16500000.0,130000.0,81.0,82,81.0,126.92210059922616,4,Excellent,4
26,84,19500000.0,150000.0,82.0,82,82.0,129.99913333911107,2,Excellent,4
22,88,15000000.0,110000.0,83.0,82,83.0,136.36239670548449,6,Excellent,4
25,85,14500000.0,120000.0,75.0,82,75.0,120.83232639728003,3,Excellent,4
22,88,11500000.0,110000.0,62.0,82,62.0,104.54450414087145,6,Excellent,2
22,85,11500000.0,100000.0,62.0,82,62.0,114.99885001149988,3,Excellent,2
22,85,13500000.0,110000.0,81.0,82,81.0,122.72615703493605,3,Excellent,4
23,88,15000000.0,130000.0,83.0,82,83.0,115.38372781747833,6,Excellent,4
27,85,18500000.0,150000.0,78.0,82,78.0,123.33251111659256,3,Excellent,4
22,87,11500000.0,120000.0,82.0,82,82.0,95.83253472887726,5,Excellent,2
21,87,15000000.0,120000.0,87.0,82,87.0,124.99895834201382,5,Excellent,4
28,82,350000.0,5000.0,50.0,82,50.0,69.98600279944012,0,Excellent,0
33,81,7500000.0,50000.0,82.0,81,82.0,149.9970000599988,0,Excellent,2
36,81,1300000.0,80000.0,73.0,81,73.0,16.24979687753903,0,Excellent,2
31,81,10000000.0,100000.0,62.0,81,62.0,99.9990000099999,0,Excellent,2
33,81,7500000.0,50000.0,80.0,81,80.0,149.9970000599988,0,Excellent,2
36,81,1300000.0,90000.0,75.0,81,75.0,14.444283952400529,0,Excellent,2
33,81,4900000.0,70000.0,74.0,81,74.0,69.99900001428551,0,Excellent,2
31,81,10000000.0,70000.0,81.0,81,81.0,142.85510206997043,0,Excellent,2
30,81,10500000.0,110000.0,80.0,81,80.0,95.45367769383915,0,Excellent,2
29,81,8500000.0,100000.0,72.0,81,72.0,84.99915000849991,0,Excellent,2
32,81,9000000.0,90000.0,62.0,81,62.0,99.99888890123444,0,Excellent,2
31,81,6500000.0,100000.0,75.0,81,75.0,64.99935000649994,0,Excellent,2
29,81,10500000.0,100000.0,81.0,81,81.0,104.9989500104999,0,Excellent,2
30,81,10500000.0,90000.0,69.0,81,69.0,116.6653703847735,0,Excellent,2
27,82,12000000.0,110000.0,86.0,81,86.0,109.0899173643876,1,Excellent,2
30,81,10500000.0,90000.0,62.0,81,62.0,116.6653703847735,0,Excellent,2
29,81,11500000.0,90000.0,76.0,81,76.0,127.77635804046622,0,Excellent,2
33,81,4900000.0,80000.0,53.0,81,53.0,61.249234384570194,0,Excellent,2
29,81,9000000.0,100000.0,61.0,81,61.0,89.9991000089999,0,Excellent,2
31,81,10000000.0,70000.0,82.0,81,82.0,142.85510206997043,0,Excellent,2
29,81,10500000.0,100000.0,76.0,81,76.0,104.9989500104999,0,Excellent,2
29,81,11500000.0,110000.0,74.0,81,74.0,104.54450414087145,0,Excellent,2
29,81,11500000.0,90000.0,86.0,81,86.0,127.77635804046622,0,Excellent,2
28,81,9500000.0,110000.0,62.0,81,62.0,86.36285124680684,0,Excellent,2
25,85,12000000.0,110000.0,81.0,81,81.0,109.0899173643876,4,Excellent,2
28,81,9500000.0,120000.0,65.0,81,65.0,79.16600694994209,0,Excellent,2
29,81,11500000.0,80000.0,62.0,81,62.0,143.74820314746066,0,Excellent,2
29,81,9000000.0,90000.0,54.0,81,54.0,99.99888890123444,0,Excellent,2
28,81,11000000.0,120000.0,78.0,81,78.0,91.66590278414347,0,Excellent,2
25,84,13500000.0,80000.0,88.0,81,88.0,168.74789065136684,3,Excellent,2
27,83,12000000.0,110000.0,83.0,81,83.0,109.0899173643876,2,Excellent,2
25,84,12000000.0,110000.0,82.0,81,82.0,109.0899173643876,3,Excellent,2
27,84,10500000.0,100000.0,57.0,81,57.0,104.9989500104999,3,Excellent,2
29,81,11500000.0,90000.0,83.0,81,83.0,127.77635804046622,0,Excellent,2
25,84,12000000.0,90000.0,73.0,81,73.0,133.33185186831258,3,Excellent,2
25,83,10500000.0,100000.0,66.0,81,66.0,104.9989500104999,2,Excellent,2
26,83,14000000.0,130000.0,76.0,81,76.0,107.6914792963131,2,Excellent,4
30,81,8000000.0,100000.0,60.0,81,60.0,79.99920000799992,0,Excellent,2
24,84,13000000.0,110000.0,83.0,81,83.0,118.1807438114199,3,Excellent,4
32,81,9000000.0,80000.0,62.0,81,62.0,112.4985937675779,0,Excellent,2
24,83,10500000.0,90000.0,57.0,81,57.0,116.6653703847735,2,Excellent,2
24,88,12000000.0,90000.0,86.0,81,86.0,133.33185186831258,7,Excellent,2
27,82,10000000.0,120000.0,82.0,81,82.0,83.33263889467588,1,Excellent,2
22,86,10500000.0,80000.0,87.0,81,87.0,131.24835939550755,5,Excellent,2
25,85,11000000.0,110000.0,81.0,81,81.0,99.9990909173553,4,Excellent,2
22,85,9500000.0,100000.0,84.0,81,84.0,94.99905000949991,4,Excellent,2
23,86,10500000.0,110000.0,87.0,81,87.0,95.45367769383915,5,Excellent,2
25,84,10500000.0,70000.0,72.0,81,72.0,149.99785717346896,3,Excellent,2
24,85,12000000.0,90000.0,76.0,81,76.0,133.33185186831258,4,Excellent,2
25,84,13500000.0,70000.0,74.0,81,74.0,192.85438779446008,3,Excellent,2
25,85,13500000.0,110000.0,85.0,81,85.0,122.72615703493605,4,Excellent,4
23,86,12000000.0,90000.0,82.0,81,82.0,133.33185186831258,5,Excellent,2
23,84,10500000.0,110000.0,83.0,81,83.0,95.45367769383915,3,Excellent,2
21,88,8000000.0,100000.0,62.0,81,62.0,79.99920000799992,7,Excellent,2
22,85,10500000.0,60000.0,85.0,81,85.0,174.99708338194364,4,Excellent,2
27,81,13000000.0,110000.0,80.0,81,80.0,118.1807438114199,0,Excellent,4
20,88,8000000.0,50000.0,55.0,81,55.0,159.99680006399873,7,Excellent,2
37,80,1200000.0,70000.0,81.0,80,81.0,17.14261224839645,0,Excellent,2
33,80,6500000.0,80000.0,73.0,80,73.0,81.24898438769516,0,Excellent,2
33,80,4300000.0,40000.0,69.0,80,69.0,107.49731256718582,0,Excellent,2
31,80,10000000.0,70000.0,85.0,80,85.0,142.85510206997043,0,Excellent,2
33,80,7500000.0,80000.0,84.0,80,84.0,93.74882813964825,0,Excellent,2
30,80,10500000.0,100000.0,85.0,80,85.0,104.9989500104999,0,Excellent,2
34,80,6000000.0,50000.0,85.0,80,85.0,119.99760004799904,0,Excellent,2
32,80,6000000.0,100000.0,79.0,80,79.0,59.99940000599994,0,Excellent,2
31,80,10000000.0,80000.0,78.0,80,78.0,124.99843751953101,0,Excellent,2
33,80,4900000.0,80000.0,77.0,80,77.0,61.249234384570194,0,Excellent,2
30,80,10500000.0,90000.0,77.0,80,77.0,116.6653703847735,0,Excellent,2
32,80,6500000.0,60000.0,77.0,80,77.0,108.33152780786988,0,Excellent,2
33,80,7500000.0,45000.0,71.0,80,71.0,166.66296304526566,0,Excellent,2
30,80,8000000.0,90000.0,55.0,80,55.0,88.88790124554171,0,Excellent,2
32,80,9000000.0,70000.0,82.0,80,82.0,128.5695918629734,0,Excellent,2
30,80,10500000.0,80000.0,62.0,80,62.0,131.24835939550755,0,Excellent,2
32,80,6500000.0,100000.0,64.0,80,64.0,64.99935000649994,0,Excellent,2
31,80,10000000.0,80000.0,62.0,80,62.0,124.99843751953101,0,Excellent,2
28,80,11000000.0,80000.0,62.0,80,62.0,137.4982812714841,0,Excellent,2
29,80,11500000.0,60000.0,85.0,80,85.0,191.66347227546208,0,Excellent,2
30,80,7500000.0,80000.0,76.0,80,76.0,93.74882813964825,0,Excellent,2
30,80,7500000.0,80000.0,73.0,80,73.0,93.74882813964825,0,Excellent,2
28,80,9500000.0,110000.0,78.0,80,78.0,86.36285124680684,0,Excellent,2
28,80,9500000.0,90000.0,59.0,80,59.0,105.55438272908079,0,Excellent,2
26,80,10500000.0,80000.0,70.0,80,70.0,131.24835939550755,0,Excellent,2
28,80,9500000.0,110000.0,74.0,80,74.0,86.36285124680684,0,Excellent,2
28,80,9500000.0,90000.0,67.0,80,67.0,105.55438272908079,0,Excellent,2
26,82,12500000.0,100000.0,84.0,80,84.0,124.99875001249987,2,Excellent,2
31,80,7500000.0,100000.0,75.0,80,75.0,74.99925000749992,0,Excellent,2
27,82,12000000.0,90000.0,81.0,80,81.0,133.33185186831258,2,Excellent,2
28,80,11000000.0,110000.0,79.0,80,79.0,99.9990909173553,0,Excellent,2
31,80,7500000.0,80000.0,57.0,80,57.0,93.74882813964825,0,Excellent,2
26,81,12500000.0,80000.0,83.0,80,83.0,156.24804689941377,1,Excellent,2
27,82,12000000.0,110000.0,81.0,80,81.0,109.0899173643876,2,Excellent,2
29,80,11500000.0,100000.0,77.0,80,77.0,114.99885001149988,0,Excellent,2
24,84,10000000.0,60000.0,72.0,80,72.0,166.66388893518442,4,Excellent,2
25,85,12000000.0,90000.0,83.0,80,83.0,133.33185186831258,5,Excellent,2
27,82,12000000.0,80000.0,75.0,80,75.0,149.9981250234372,2,Excellent,2
27,83,10500000.0,90000.0,62.0,80,62.0,116.6653703847735,3,Excellent,2
26,83,14000000.0,110000.0,81.0,80,81.0,127.2715702584522,3,Excellent,4
26,84,11500000.0,110000.0,62.0,80,62.0,104.54450414087145,4,Excellent,2
28,80,350000.0,5000.0,78.0,80,78.0,69.98600279944012,0,Excellent,2
26,82,14000000.0,110000.0,83.0,80,83.0,127.2715702584522,2,Excellent,4
26,85,12500000.0,90000.0,82.0,80,82.0,138.88734569615895,5,Excellent,2
27,82,13000000.0,120000.0,74.0,80,74.0,108.33243056307865,2,Excellent,4
25,81,11000000.0,80000.0,53.0,80,53.0,137.4982812714841,1,Excellent,2
27,80,10500000.0,90000.0,54.0,80,54.0,116.6653703847735,0,Excellent,2
29,80,9000000.0,90000.0,63.0,80,63.0,99.99888890123444,0,Excellent,2
23,85,12000000.0,70000.0,74.0,80,74.0,171.42612248396452,5,Excellent,2
27,83,13000000.0,100000.0,82.0,80,82.0,129.99870001299988,3,Excellent,2
24,83,10500000.0,90000.0,62.0,80,62.0,116.6653703847735,3,Excellent,2
26,81,11500000.0,90000.0,62.0,80,62.0,127.77635804046622,1,Excellent,2
25,83,13500000.0,90000.0,71.0,80,71.0,149.99833335185164,3,Excellent,2
25,85,12000000.0,90000.0,77.0,80,77.0,133.33185186831258,5,Excellent,2
29,80,10500000.0,90000.0,79.0,80,79.0,116.6653703847735,0,Excellent,2
23,84,9500000.0,60000.0,62.0,80,62.0,158.3306944884252,4,Excellent,2
24,83,13000000.0,100000.0,74.0,80,74.0,129.99870001299988,3,Excellent,2
26,85,14000000.0,80000.0,80.0,80,80.0,174.9978125273434,5,Excellent,2
25,86,12000000.0,80000.0,78.0,80,78.0,149.9981250234372,6,Excellent,2
21,85,9500000.0,60000.0,85.0,80,85.0,158.3306944884252,5,Excellent,2
23,84,12000000.0,90000.0,85.0,80,85.0,133.33185186831258,4,Excellent,2
23,86,9000000.0,90000.0,63.0,80,63.0,99.99888890123444,6,Excellent,2
21,87,9500000.0,100000.0,84.0,80,84.0,94.99905000949991,7,Excellent,2
26,84,11000000.0,90000.0,62.0,80,62.0,122.22086421261986,4,Excellent,2
24,85,13000000.0,100000.0,76.0,80,76.0,129.99870001299988,5,Excellent,2
21,86,10500000.0,60000.0,75.0,80,75.0,174.99708338194364,6,Excellent,2
31,80,7500000.0,80000.0,56.0,80,56.0,93.74882813964825,0,Excellent,2
25,84,11000000.0,100000.0,54.0,80,54.0,109.99890001099989,4,Excellent,2
25,84,10500000.0,90000.0,72.0,80,72.0,116.6653703847735,4,Excellent,2
22,85,9500000.0,90000.0,86.0,80,86.0,105.55438272908079,5,Excellent,2
21,84,8000000.0,70000.0,76.0,80,76.0,114.28408165597634,4,Excellent,2
24,82,10500000.0,80000.0,63.0,80,63.0,131.24835939550755,2,Excellent,2
28,80,11000000.0,110000.0,82.0,80,82.0,99.9990909173553,0,Excellent,2
23,86,12000000.0,90000.0,79.0,80,79.0,133.33185186831258,6,Excellent,2
25,82,13500000.0,70000.0,82.0,80,82.0,192.85438779446008,2,Excellent,2
21,86,9500000.0,90000.0,84.0,80,84.0,105.55438272908079,6,Excellent,2
27,84,13000000.0,110000.0,76.0,80,76.0,118.1807438114199,4,Excellent,4
20,85,9500000.0,80000.0,84.0,80,84.0,118.74851564355446,5,Excellent,2
19,86,10000000.0,80000.0,84.0,80,84.0,124.99843751953101,6,Excellent,2
23,86,9000000.0,80000.0,59.0,80,59.0,112.4985937675779,6,Excellent,2
21,86,10500000.0,90000.0,85.0,80,85.0,116.6653703847735,6,Excellent,2
30,80,350000.0,5000.0,69.0,80,69.0,69.98600279944012,0,Excellent,0
33,79,5000000.0,80000.0,82.0,79,82.0,62.499218759765505,0,Excellent,2
37,79,2500000.0,60000.0,62.0,79,62.0,41.665972233796104,0,Excellent,2
36,79,110000.0,80000.0,76.0,79,76.0,1.3749828127148411,0,Excellent,2
35,79,1200000.0,45000.0,60.0,79,60.0,26.666074087242507,0,Excellent,2
32,79,5500000.0,100000.0,77.0,79,77.0,54.999450005499945,0,Excellent,2
32,79,5500000.0,100000.0,72.0,79,72.0,54.999450005499945,0,Excellent,2
35,79,3000000.0,80000.0,78.0,79,78.0,37.4995312558593,0,Excellent,2
32,79,4500000.0,60000.0,64.0,79,64.0,74.99875002083299,0,Excellent,2
32,79,5500000.0,60000.0,84.0,79,84.0,91.66513891435143,0,Excellent,2
31,79,5000000.0,60000.0,55.0,79,55.0,83.33194446759221,0,Excellent,2
29,79,7000000.0,80000.0,78.0,79,78.0,87.4989062636717,0,Excellent,2
30,79,5500000.0,60000.0,42.0,79,42.0,91.66513891435143,0,Excellent,1
33,79,3400000.0,80000.0,54.0,79,54.0,42.49946875664054,0,Excellent,2
32,79,4500000.0,80000.0,78.0,79,78.0,56.24929688378895,0,Excellent,2
30,79,7500000.0,80000.0,62.0,79,62.0,93.74882813964825,0,Excellent,2
31,79,5000000.0,60000.0,58.0,79,58.0,83.33194446759221,0,Excellent,2
32,79,6500000.0,90000.0,62.0,79,62.0,72.22141976200264,0,Excellent,2
36,79,3600000.0,70000.0,62.0,79,62.0,51.42783674518935,0,Excellent,2
31,79,7000000.0,80000.0,62.0,79,62.0,87.4989062636717,0,Excellent,2
32,79,4500000.0,100000.0,74.0,79,74.0,44.99955000449995,0,Excellent,2
30,79,5500000.0,80000.0,64.0,79,64.0,68.74914063574205,0,Excellent,2
32,79,6500000.0,90000.0,62.0,79,62.0,72.22141976200264,0,Excellent,2
30,79,7500000.0,80000.0,78.0,79,78.0,93.74882813964825,0,Excellent,2
31,79,5000000.0,100000.0,61.0,79,61.0,49.99950000499995,0,Excellent,2
29,79,6000000.0,100000.0,79.0,79,79.0,59.99940000599994,0,Excellent,2
34,79,4100000.0,70000.0,76.0,79,76.0,58.570591848687876,0,Excellent,2
31,79,6000000.0,100000.0,77.0,79,77.0,59.99940000599994,0,Excellent,2
27,79,8000000.0,90000.0,83.0,79,83.0,88.88790124554171,0,Excellent,2
27,81,9000000.0,110000.0,80.0,79,80.0,81.81743802329069,2,Excellent,2
28,79,6500000.0,110000.0,63.0,79,63.0,59.09037190570995,0,Excellent,2
28,79,7500000.0,90000.0,82.0,79,82.0,83.33240741769536,0,Excellent,2
30,79,5000000.0,80000.0,73.0,79,73.0,62.499218759765505,0,Excellent,2
27,80,7000000.0,110000.0,67.0,79,67.0,63.6357851292261,1,Excellent,2
29,79,6000000.0,60000.0,76.0,79,76.0,99.99833336111065,0,Excellent,2
29,79,8000000.0,60000.0,72.0,79,72.0,133.33111114814753,0,Excellent,2
28,79,6500000.0,90000.0,57.0,79,57.0,72.22141976200264,0,Excellent,2
29,79,6000000.0,80000.0,75.0,79,75.0,74.9990625117186,0,Excellent,2
29,79,6000000.0,60000.0,61.0,79,61.0,99.99833336111065,0,Excellent,2
26,82,7500000.0,110000.0,70.0,79,70.0,68.18119835274224,3,Excellent,2
32,79,5500000.0,90000.0,74.0,79,74.0,61.11043210630993,0,Excellent,2
23,84,6500000.0,90000.0,61.0,79,61.0,72.22141976200264,5,Excellent,2
29,79,6000000.0,60000.0,59.0,79,59.0,99.99833336111065,0,Excellent,2
